,Model,model,train_mae,train_rmse,test_mae,test_rmse
10,KNN_X_High_90,KNeighborsRegressor(),36.929139593002496,58.769966157340505,48.79014446227931,74.20484820380837
5,KNN_X_High_60,KNeighborsRegressor(),36.85089891632618,58.3335888587827,52.81908945686901,82.674611689751
0,KNN_X_High_30,KNeighborsRegressor(),42.64642857142855,68.66916875356445,56.93303656597774,89.679421194004
1,RNN_X_High_30,"<Sequential name=sequential_5, built=True>",6386.819045731304,8840.696147851364,5889.7822377409575,8444.296581184859
6,RNN_X_High_60,"<Sequential name=sequential_9, built=True>",6419.08743717575,8878.065324144038,5963.6683904190795,8380.640702086614
11,RNN_X_High_90,"<Sequential name=sequential_13, built=True>",6434.516021813499,8882.467361620147,6157.020386721885,8599.486017844722
4,BiLSTM_X_High_30,"<Sequential name=sequential_8, built=True>",6735.757653083423,9181.18503335656,6220.729820166559,8772.098687168353
3,GRU_X_High_30,"<Sequential name=sequential_7, built=True>",7061.290189863363,9445.505638868231,6542.1040657759095,9027.830860997114
9,BiLSTM_X_High_60,"<Sequential name=sequential_12, built=True>",7118.755995426256,9500.145527519686,6637.246182241226,8991.395601191443
8,GRU_X_High_60,"<Sequential name=sequential_11, built=True>",7157.152723941881,9528.951318768699,6675.642910756851,9019.77639664018
